 min, max u ice = -0.78434877503558464       0.78446060918482818              398
 min, max u ice = -0.78567865175332241       0.78579074220765754              399
 min, max u ice = -0.78700662835538060       0.78711897499784000              400
 min, max u ice = -0.78833271089754942       0.78844531361135195              401
 min, max u ice = -0.78965690541027866       0.78976976407870914              402
 min, max u ice = -0.79097921789988035       0.79109233240634946              403
 min, max u ice = -0.79229965434863825       0.79241302457674268              404
 min, max u ice = -0.79361822071383914       0.79373184654724271              405
 min, max u ice = -0.79493492292929857       0.79504880425184798              406
 min, max u ice = -0.79624976690407923       0.79636390359968978              407
 min, max u ice = -0.79756275852364567       0.79767715047635979              408
 min, max u ice = -0.79887390364997468       0.79898855074401998              409
 min, max u ice = -0.80018320812060606       0.80029811024028019              410
 min, max u ice = -0.80149067775013250       0.80160583477991576              411
 min, max u ice = -0.80279631832894938       0.80291173015339279              412
 min, max u ice = -0.80410013562438043       0.80421580212816246              413
 min, max u ice = -0.80540213538078764       0.80551805644877250              414
 min, max u ice = -0.80670232331864355       0.80681849883576717              415
 min, max u ice = -0.80800070513598565       0.80811713498736604              416
 min, max u ice = -0.80929728650719557       0.80941397057802378              417
 min, max u ice = -0.81059207308442172       0.81070901126007100              418
 min, max u ice = -0.81188507049637049       0.81200226266228803              419
 min, max u ice = -0.81317628434939149       0.81329373039115338              420
 min, max u ice = -0.81446572022758945       0.81458342003095618              421
 min, max u ice = -0.81575338369192307       0.81587133714273041              422
 min, max u ice = -0.81703928028161199       0.81715748726587678              423
 min, max u ice = -0.81832341551295629       0.81844187591677209              424
 min, max u ice = -0.81960579488071295       0.81972450859035373              425
 min, max u ice = -0.82088642385692567       0.82100539075874290              426
 min, max u ice = -0.82216530789197395       0.82228452787244832              427
 min, max u ice = -0.82344245241468461       0.82356192536048034              428
 min, max u ice = -0.82471786283145698       0.82483758862931666              429
 min, max u ice = -0.82599154452762447       0.82611152306447078              430
 min, max u ice = -0.82726350286631278       0.82738373402914756              431
 min, max u ice = -0.82853374318977113       0.82865422686577594              432
 min, max u ice = -0.82980227081824054       0.82992300689467691              433
 min, max u ice = -0.83106909105127114       0.83119007941558010              434
 min, max u ice = -0.83233420916660217       0.83245544970630536              435
 min, max u ice = -0.83359763042146640       0.83371912302426521              436
 min, max u ice = -0.83485936005148076       0.83498110460515784              437
 min, max u ice = -0.83611940327193846       0.83624139966445576              438
 min, max u ice = -0.83737776527671037       0.83750001339611180              439
 min, max u ice = -0.83863445123952463       0.83875695097403302              440
 min, max u ice = -0.83988946631287831       0.84001221755079925              441
 min, max u ice = -0.84114281562930471       0.84126581825912272              442
 min, max u ice = -0.84239450430029617       0.84251775821057895              443
 min, max u ice = -0.84364453741755896       0.84376804249705273              444
 min, max u ice = -0.84489292005194538       0.84501667618948029              445
 min, max u ice = -0.84613965725469809       0.84626366433928235              446
 min, max u ice = -0.84738475405639191       0.84750901197711848              447
 min, max u ice = -0.84862821546816603       0.84875272411430558              448
 min, max u ice = -0.84987004648067543       0.84999480574158415              449
 min, max u ice = -0.85111025206531266       0.85123526183052345              450
 min, max u ice = -0.85234883717316867       0.85247409733230051              451
 min, max u ice = -0.85358580673624185       0.85371131717909132              452
 min, max u ice = -0.85482116566641075       0.85494692628286018              453
 min, max u ice = -0.85605491885663021       0.85618092953673897              454
 min, max u ice = -0.85728707117991410       0.85741333181382806              455
 min, max u ice = -0.85851762749052007       0.85864413796856209              456
 min, max u ice = -0.85974659262294240       0.85987335283552191              457
 min, max u ice = -0.86097397139308496       0.86110098123078838              458
 min, max u ice = -0.86219976859726333       0.86232702795076432              459
 min, max u ice = -0.86342398901336848       0.86355149777351670              460
 min, max u ice = -0.86464663739987602       0.86477439545760926              461
 min, max u ice = -0.86586771849699939       0.86599572574343087              462
 min, max u ice = -0.86708723702570945       0.86721549335204118              463
